행정동,개수
가락동,5
가산동,3
가양동,3
갈월동,2
갈현동,2
강남대로,1
개보동,1
개포동,3
개화동,1
거여동,1
고덕동,1
공덕동,2
공릉동,4
공항동,2
광장동,1
광희동,2
구로3동,1
구로6동,1
구로동,3
구산동,1
구의동,1
금호동,2
길동,1
길음동,1
남가좌동,1
남부순환로,1
남창동,1
노고산동,2
노량진동,1
녹변동,2
논현동,3
능동,3
당산동,4
대림동,1
대방동,2
대조동,1
대치동,3
대흥동,2
도곡동,3
도봉동,3
도화동,2
돈의동,1
동교동,2
동선동,2
동자동,1
동작동,3
둔촌동,3
등촌동,2
마곡동,2
마장동,1
마천동,1
마포대로,1
망우동,2
망원동,1
매헌로,1
면목동,3
명동,2
명륜동,1
명일동,2
목동,3
묘동,1
묵동,1
문래동,1
문정동,1
미아동,4
반포동,7
방배동,2
방이동,5
방학동,1
방화동,6
보문동,2
본동,1
봉래동2가,2
봉천6동,2
봉천8동,1
불광동,2
사당1동,1
사당동,4
삼선동,1
삼성2동,1
삼성동,8
삼전동,1
상계동,6
상도동,3
상봉동,5
상수동,1
상월곡동,1
상일동,1
서교동,1
서빙고동,1
서소문동,1
서초1동,1
서초3동,1
서초동,2
석관동,1
석촌동,2
성내동,1
성산동,2
성수1가2동,1
성수2가3동,1
성수동1가,1
세종로,1
솔샘로,1
수색동,2
수색로,1
수서동,2
수유동,3
숭인동,1
시흥동,1
신길동,3
신내동,2
신당동,7
신대방1동,1
신도림동,3
신림본동,1
신사동,2
신설동,2
신설동.6가동,1
신정3동,1
신정7동,1
신정동,1
신천동,3
신촌동,1
아현동,2
안국동,1
안암동,1
암사동,1
압구정동,2
양재동,1
양평동,2
양화로,1
여의도동,5
역삼1동,1
역삼동,2
역촌동,1
염창동,1
영등포동,3
오금동,2
오류동,2
옥수동,2
온수동,2
용답동,3
용두동,1
용산동,1
우이동,3
월계동,5
을지로동,3
응봉동,1
이문동,2
이촌동,1
이태원동,1
일원동,1
일원본동,1
자양동,3
잠실동,3
잠실본동,2
잠원동,2
장안동,1
장지동,3
장충동,1
적선동,1
전농동,4
정동,1
정릉동,2
제기동,1
종로1.2.3.4가동,1
종로1.2.3.5가동,1
종로5.6가동,2
종암동,1
주교동,1
중계동,1
중곡동,1
중화동,3
증산동,2
진관동,1
창동,4
창신동,3
창전동,1
천호동,3
청계산로,1
청담동,1
청파로,1
충정로,1
충현동,1
평동,1
필동,2
하계동,1
하늘길,1
하왕십리동,1
하월곡동,1
한강로동,6
한남동,2
합정동,1
행당동,6
현저동,1
홍제2동,1
홍제동,1
화곡동,4
화양동,2
효창동,2
휘경동,3
흑석동,1
흥인동,1
